,Location,Area,Bed,Bath,Price
0,"Banani, Dhaka","1,700 sqft",3,4,65 Thousand
1,"Baridhara DOHS, Dhaka","1,485 sqft",3,3,40 Thousand
2,"Cantonment, Dhaka","1,450 sqft",3,4,30 Thousand
3,"Gulshan 1, Gulshan, Dhaka","2,800 sqft",3,3,85 Thousand
4,"Gulshan 2, Gulshan, Dhaka","2,550 sqft",3,4,1.5 Lakh
5,"Block F, Bashundhara R-A, Dhaka","1,850 sqft",3,3,32 Thousand
6,"Block H, Bashundhara R-A, Dhaka","2,200 sqft",4,4,50 Thousand
7,"Sector 4, Uttara, Dhaka","1,875 sqft",3,3,40 Thousand
8,"Shantinagar, Dhaka","1,200 sqft",3,3,30 Thousand
9,"Shantinagar, Dhaka","1,620 sqft",4,4,35 Thousand
10,"Block A, Lalmatia, Dhaka","1,750 sqft",3,3,45 Thousand
11,"Sector 4, Uttara, Dhaka","1,200 sqft",3,3,25 Thousand
12,"Banani, Dhaka","2,450 sqft",4,4,65 Thousand
13,"Sector 7, Uttara, Dhaka","2,200 sqft",3,4,48 Thousand
14,"Block G, Bashundhara R-A, Dhaka","1,500 sqft",3,3,25 Thousand
15,"Mohakhali DOHS, Dhaka","2,750 sqft",3,3,1.5 Lakh
16,"Mohakhali DOHS, Dhaka","2,750 sqft",3,4,1.5 Lakh
17,"Sector 11, Uttara, Dhaka","1,850 sqft",3,3,28 Thousand
18,"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka","1,600 sqft",3,4,45 Thousand
19,"Bashundhara R-A, Dhaka","1,800 sqft",4,4,40 Thousand
20,"Block G, Bashundhara R-A, Dhaka","1,500 sqft",3,3,25 Thousand
21,"Mohakhali DOHS, Dhaka","2,750 sqft",3,3,1.5 Lakh
22,"Block F, Bashundhara R-A, Dhaka","2,450 sqft",4,3,49 Thousand
23,"Pirerbag, Mirpur, Dhaka","1,200 sqft",3,3,17 Thousand
24,"Block D, Bashundhara R-A, Dhaka","1,250 sqft",3,2,24 Thousand
25,"Block D, Bashundhara R-A, Dhaka","1,400 sqft",3,3,28 Thousand
26,"Block C, Bashundhara R-A, Dhaka","1,700 sqft",3,3,30 Thousand
27,"Block J, Bashundhara R-A, Dhaka","1,650 sqft",3,3,22 Thousand
28,"Block J, Bashundhara R-A, Dhaka","1,650 sqft",3,3,22 Thousand
29,"Block G, Bashundhara R-A, Dhaka","1,500 sqft",3,3,25 Thousand
30,"Mohammadi Housing LTD., Mohammadpur, Dhaka","1,100 sqft",3,3,16.5 Thousand
31,"Pirerbag, Mirpur, Dhaka",850 sqft,2,2,9 Thousand
32,"Motijheel Extension, Motijheel, Dhaka","1,615 sqft",3,2,22 Thousand
33,"Kalabagan, Dhaka","1,100 sqft",2,3,23 Thousand
34,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",650 sqft,2,2,11.5 Thousand
35,"Banani, Dhaka","2,600 sqft",3,4,1.2 Lakh
36,"West Shewrapara, Mirpur, Dhaka","1,150 sqft",3,3,16 Thousand
